id,title,author,genre,story,score,platform
517,2018 재생금지,웹툰작가,"스토리, 스릴러",2018 여름특집 공포 단편선.절대 재생 금지! 플레이하면 끔찍한 비명의 기록이 쏟아진다.,9.67,네이버 웹툰
518,스피릿 핑거스,한경찰,"스토리, 로맨스","평범한 여고생, 알록달록 이상한 그림모임에 들어가다!나만의 색을 찾아 떠나는 모험 이야기!",9.98,네이버 웹툰
519,ㄹㅇ 관종,9P,"스토리, 드라마","중2, 병약미소년, ... 각종 컨셉이 판치는 이곳에서 최강은 누구?",9.56,네이버 웹툰
520,이말년씨리즈 2018,이말년,"옴니버스, 개그","2018년에 풀어내는 이말년의 망상, 그리고 일상",8.8,네이버 웹툰
521,퍼스트 미션,신의철,"스토리, 판타지",슈퍼 파워의 기원 프라나 를 수호해야 하는 영웅의 첫번째 사명!그 사명을 짊어질 슈퍼 히어로의 탄생 이야기,9.97,네이버 웹툰
522,하루 3컷,배진수,"옴니버스, 일상",당신의 하루 중 가장 가벼운 3초.,9.9,네이버 웹툰
523,환생동물학교,엘렌 심,"에피소드, 감성","동물들이 인간으로 환생하기 전, 동물의 습성을 버리고 인간 세계에서 잘 적응할 수 있는 교육을 받는 학교.그곳에는 주인을 걱정하고 그리워하는 사랑스러운 동물들로 가득하다.신입 선생님은 이제 이들을 가르쳐 주인을 잊고 인간이 될 수 있도록 해야 하는데 .",9.98,네이버 웹툰
524,감염자,이강,"스토리, 스릴러",사람을 잡아먹는 괴물 감염자 나는 괴물이 되었다.,9.95,네이버 웹툰
525,지금 이 순간 마법처럼,나윤희,"스토리, 드라마",마법사와 마녀가 함께 사는 이 시대평범하지만 특별한 주인공들이 만나서로 엮어가는 두근 두근 이야기!,9.98,네이버 웹툰
526,연애학,맹물,"스토리, 드라마",연애가 가장 쉬웠어요 ? 어느 모쏠남의 솔로탈출기,9.77,네이버 웹툰
527,공대생 너무만화,최삡뺩,"스토리, 개그","평범한 ? 문과생, 공대생이 되다최삡ㅤㅃㅑㅂ 작가의 신작",9.97,네이버 웹툰
528,내 ID는 강남미인! - ...,기맹기,"에피소드, 로맨스",연애가 처음인 커플의 여행 계획 회색 아기 고양이의 섹시한 컴백?! 내 는 강남미인! 드라마화 기념 특별외전,9.96,네이버 웹툰
529,아기낳는만화,쇼쇼,"스토리, 일상",임신과 출산에 대해 아무것도 몰랐던 나... 반성합니다.엄청난 변화와 위기를 몰고온 진짜 임신 충격 실화!,9.82,네이버 웹툰
530,심연의 하늘 시즌5,윤인완 / 김선희,"스토리, 스릴러",이 재난의 마지막 생존자는 누가 될 것인가,9.92,네이버 웹툰
531,쌉니다 천리마마트,김규삼,"스토리, 개그","고객은 왕이 아니다, 직원이 왕이다! 병맛 드라마를 뛰어넘는 미친 상상력의 원작 웹툰",9.98,네이버 웹툰
532,팀 피닉스,엄재경 / 지야프,"스토리, 판타지",선과 악이 뒤섞인 세상초능력 범죄자와 초능력 경찰의 치열한 싸움이 시작된다,9.95,네이버 웹툰
533,뱀이 앉은 자리,김이연,"스토리, 스릴러","사랑스러운 그녀의 무서운 비밀..그림자 속 그녀의 진실을 보아도, 당신은 그녀를 응원할 수 있을까",9.97,네이버 웹툰
534,금수저,HD3,"스토리, 드라마",부모님을 선택할 수 있다고!? 후천적 금수저가 된 아이의 인생 어드벤처,9.94,네이버 웹툰
535,여중생A-우리들의 축제,허5파6,"스토리, 드라마","글쓰기, 게임 대신 무려 춤추기에 도전하는 미래?! 우리들을 웃고 울렸던 웹툰 여중생 의 특별외전.",9.98,네이버 웹툰
536,마스크걸,매미 / 희세,"스토리, 스릴러","끝내주게 못생기고끝내주게 몸매좋은 여자, 김모미",9.96,네이버 웹툰
537,10월 28일,천정학,"스토리, 스릴러","주인공 상길의 평범한 하루, 그 하루가 반복된다.",9.57,네이버 웹툰
538,Penguin loves ...,펭귄,"에피소드, 일상",한국여자 펭귄과 영국남자 메브의 엉뚱 발랄 러브 스토리.시즌3 .,9.96,네이버 웹툰
539,한국만화 1990,웹툰작가,"스토리, 일상","1990년대 데뷔한, 인기 만화가들의 단편 특집",9.75,네이버 웹툰
540,첩보의 별 시즌2,이상신 / 국중록,"스토리, 개그","배신이 난무하는 그들의 뜨거운 우정, 본격 스파이 모험 만화!",9.92,네이버 웹툰
