,title,day,genre,story,platform,Thumbnail
63,이담,완결,,"절친한 친구에게도 털어놓지 못한 비밀을 가진 민영! 썩은 내 가득한 집과 아빠를 피해 학교로 도망친 민영은 아빠가 아파트에 불을 질러 사고가 난 것을 알게 된다. 하지만 차마 경찰에게도 비밀을 털어놓지 못한 민영, 급하게 강원도에 사는 외할머니에게 맡겨지게 되고 외할머니의 보살핌 덕에 일상을 찾아가지만 자신의 비밀을 캐기 위해 접근한 사람들 때문에 괴롭힘을 당한다. 결국 재원이라는 소년의 도움으로 강원도를 떠나게 되는데... 7년 뒤, 다른 사람처럼 살아가던 민영은 우연히 자신의 비밀을 토대로 소설이 만들어졌고, 그 소설을 토대로 영화가 개봉될 거란 사실을 알게 된다. 민영은 과거의 친구들과 함께 이를 막을 수 있을까?!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1854/c2/2x/2a0e2dac-216e-486d-80ef-58a6882823ab
64,형제가 사랑한 마녀,완결,,"묘약으로 시작된 기간한정 연애, 두 형제를 사로 잡아버린 마녀의 후예",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1956/c2/2x/a3d08ec0-a228-47c2-bd5f-2ae34819359b
65,요괴백정,완결,,"도깨비에게 어머니를 잃었다고 생각한 온달, 복수를 위해 도깨비를 찾아나선다! 도깨비 김서방과 싸우는 과정에서 한쪽 팔을 잃고, 어머니를 해한 자가 도깨비의 이름을 쓴 채 인간들을 마구 해치는 어떤 존재라는 것을 알게 된 온달. 한편 100여년 전 인간과의 어떤 약속 때문에 아차산 동굴에서 숨어지낼 수 밖에 없던 김서방, 도깨비의 이름을 더럽히는 존재를 파악하기 위해 자신의 오른팔과 그의 검 망나니를 온달에게 넘겨주고 함께 여행길에 나서는데... 그들은 오니라는 이세계의 요괴를 이용해 욕심을 채우려는 인간 곽부언이란 자가 얽혀 있다는 것을 알아내며, 그들의 음모를 막기 위해 더 큰 위험 속으로 뛰어든다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1671/c2/2x/75caf832-3d8b-44a2-8f7f-b7cfcf04b58f
66,피치 (PITCH),완결,,"17세. 자신이 선택한 무게를 지고 오른다. 거친 호흡, 쏟아지는 땀. 철주의 계절은, 1도 더 높다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1946/c2/2x/2fa320e4-0900-4cdb-87fe-71dd38b7ab5b
67,인스타러브,완결,,"갑작스런 헤어짐을 통보받고 상처받은 율, 전남친에게 보란듯이 성공한 모습을 보여주기 위해 셀럽이 되기로 한다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1805/c2/2x/bb5f7c65-b007-4813-ab1c-821194ab0133
68,마이셀프,완결,,인기 스트리머지만 남모를 아픔을 가진 예림. 여러 위협 속에서 나를 찾기 위한 사투가 시작된다.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2013/c2/2x/c3e1468b-52a4-481d-83fe-3481c0291d46
69,왕 그리고 황제,완결,,"영혼이 바뀐 고종과 태종, 그들은 조선을 바꿀 수 있을까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1342/c2/2x/06f2f61b-306b-4f3c-995c-432393f19b8c
70,하나밖에 안 보여!,완결,,햇살 같은 하나와 음침 미소년 창욱이의 친구 만들기 프로젝트!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1896/c2/2x/267979c3-f4f7-4eaa-b18f-df70f642585c
71,사화,완결,,연인 마리 의 죽음으로 깊은 슬픔에 잠긴 베누 그 앞에 나타난 까마귀 디테 는 꽃 을 모으는 대신 마리를 되살려주겠다며 거절할 수 없는 유혹의 손길을 뻗치는데 마리를 살릴 수만 있다면 뭐든 할 수 있어. 사랑을 놓을 수 없는 남자 베누와 그 마음을 이용해 꽃을 피우는 악마 디테. 삶과 죽음에 관한 아름다운 이야기 사화,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2128/c2/2x/d35b62c3-c92d-4cd6-809e-03a1b6135474
72,고교호구왕,완결,,만인의 호구! 왕따 한결 이 검도의 신을 만난 후 검도선수로 성장하는 이야기,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1925/c2/2x/8891666d-a2bf-44eb-aa06-3e029ec92069
73,하필 너야?!,완결,,불의의 사고로 고양이가 된 그녀. 운명의 그를 만나고 사람이 될 수 있을까?,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1720/c2/2x/a1973903-f96f-4464-938c-53076ae28bdc
74,그 남자의 하이힐,완결,,"평범하다 못해 존재감마저 희미한 남자 만석, 그에겐 은밀한 취미가 하나 있는데... 그건 바로 하 이 힐을 신는 것! 그의 발은 슬럼프에 빠졌던 천재 구두 디자이너 체이스 오의 영감을 자극하기 시작하고... 하이힐을 신는 남자 만석과 하이힐을 만드는 남자 체이스 오 두 남자의 운명적 이야기, 그남자의 하이힐",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2127/c2/2x/afaec5e4-e9d0-4b2e-9951-65f53c156555
75,갱스쿨,완결,,아버지의 자살로 일순간 모래성처럼 무너져 버린 가족들. 정신을 놓은 어머니와 맹인 학교를 다니는 여동생을 책임져야하는 가장이 되어 버렸다. 가족을 위해 부산 최고 깡패 학교 최강고 에 자신만의 갱을 만들기 위해 전학가는데... 차가운 세상을 향한 뜨거운 액션!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2322/c2/2x/093c4269-5efe-4c44-be31-9c99e754fbcc
76,화목한 가족,완결,,"의미 없는 삶에 지친 고3 영진, 비밀이 많아 보이는 전학생 유은과의 만남으로 변화가 생긴 삶",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2025/c2/2x/290e54da-bb38-4f2e-918a-89692ff9152e
