,title,day,writer,illustrator,story,platform,genre,,,,,,
764,좀비소녀,완결,DAMA,DAMA,"어릴 적 화재와 화상 흉터로 한없이 움추러드는 사춘기 소녀 원나.그런 그녀에게 닥친 생애 최초, 최고의 상황 좀비바이러스.좀비바이러스에 전염된 마을 어르신들을 지킬 수 있는 건, 오직 원나뿐!힐링감 넘치는 원나의 웃픈 성장기 좀비소녀 를 소개합니다!",네이버 웹툰,"스토리, 액션",,,,,,
765,환생소녀,완결,이지훈,한아름,"은진이와 윤재는 어릴 때부터 한동네에서 자란 친구 사이로 매번 티격태격하지만, 어느 순간부터 서로에게 친구 이상의 감정을 느끼게 된다. 친구와 연인사이에서 갈등하다 더 이상 피하지 않고 자신의 마음을 전하기로 마음먹은 그날, 은진이네 가족에게 예상치 못한 사고가 일어나고, 놀랍게도 은진이는 전생의 기억을 고스란히 가지고 박다미라는 새로운 생명으로 탄생한다. 이후 전생의 기억과 인간관계, 현생의 일상과 인간관계 사이에 금이 가지 않도록 그녀만의 비밀스러운 생활이 시작되는데...",네이버 웹툰,"스토리, 판타지",,,,,,
766,방정사,완결,할리데이,도진,"인간의 모습으로 변한 12 지신 방정사 가 신의 저울인 천평 으로 피해자의 고통인 홍고 와 가해자의 고통인 흑고 의 무게를 측정하여, 그에 맞는 벌을 내린다. 저울은 진실해야 하고, 죄와 벌의 무게는 같아야 한다. 하늘의 명에 따라, 인간의 죄를 벌하는 12 방정사의 죄와 벌 에 관한 판타지 휴먼 드라마!",네이버 웹툰,"스토리, 액션",,,,,,
767,데이빗,완결,d몬,d몬,시골 농장 데이빗의 자아를 찾기 위한 여정.사람은 무엇으로 정의하는가,네이버 웹툰,"스토리, 드라마",,,,,,
768,푸른사막 아아루,완결,달꽃,달꽃,"물의 별 아아루에 걸린 저주를 풀기 위한두 왕녀의 일대기, 그리고 사랑",네이버 웹툰,"스토리, 판타지",,,,,,
769,첫사랑입니다만,완결,산차,산차,숨기고 싶은 그녀와 밝히고 싶은 그의 밀당 로맨스!,네이버 웹툰,"스토리, 로맨스",,,,,,
770,갓!김치,완결,김민우,김민우,1000 신토불이 히어로 등장!,네이버 웹툰,"에피소드, 개그",,,,,,
771,좀비딸,완결,이윤창,이윤창,나의 딸은 좀비다.이 세상 마지막 남은 유일한 좀비...,네이버 웹툰,"스토리, 드라마",,,,,,
772,203호 저승사자,완결,샤니,샤니,어느날 저승사자가 찾아왔다.그런데 이 저승사자... 제 정신이 아니다.,네이버 웹툰,"에피소드, 개그",,,,,,
773,돼지우리,완결,김칸비,천범식,"무인도에 표류한 주인공, 그 앞에 정체불명의 가족이 나타난다.",네이버 웹툰,"스토리, 스릴러",,,,,,
774,Yes my boss(예스...,완결,김밀콩,김밀콩,"가뜩이나 생활고에 시달리는데, 하나뿐인 동생이 사고를 쳐서 발등에 불 떨어진 웹툰작가 정아린. 직업상 어시는 많이 필요하지만 이들에게 줄 월급이 고료로는 부족하다. 오랜 세월 꿈꾸던 만화가를 그만둘 수 없어 어쩔 수 없이 취직을 해 낮에는 직장인, 밤에는 만화가인 삶을 살기로 하지만 만화만 그리던 손으로 회사일이 익숙할 리 없을 터. 출근 첫날부터 상사에게 열심히 까이고 작업실로 돌아온 그 때 부족한 손을 채워줄 새로운 파트타임 어시를 보고 눈을 의심하게 되는데...!",네이버 웹툰,"에피소드, 드라마",,,,,,
775,플라워(FLOWAR),완결,홍작가,홍작가,인류가 정착하기 좋은 환경을 갖고 있다고 알려진 행성 프록시마 .,네이버 웹툰,"에피소드, 드라마",,,,,,
776,한스와 에밀리,완결,김지효,김지효,그림을 너무 사랑하는 바른 청년 한스 . 군대 제대 이후 엄마의 시장 일을 돕다가 더 큰 세계에서 미술을 공부하기 위해 샌프란시스코에서의 유학생활을 시작한다. 새 학교에서 처음 사귄 친구 상은 을 위한 선물을 사기 위해 한 작은 수족관에 들어가게 되고 이 곳에서 금붕어의 저주에 걸린 플라워 왕국의 공주 에밀리 를 우연히 사게 되면서 둘의 인연이 시작되는데,네이버 웹툰,"에피소드, 드라마",,,,,,
777,태릉좀비촌,완결,하얀독수리,하얀독수리,대한민국에서 가장 높은 신체능력과 강도 높은 훈련을 이겨낸 엘리트 운동선수들이 모여 있는 태릉선수촌 에 좀비 바이러스가 퍼졌다. 유도 은메달리스트 락구는 자신의 목숨보다 중요한 양궁선수 승미를 구하기 위해 격리구역이 된 태릉선수촌에 뛰어드는데 .,네이버 웹툰,"에피소드, 드라마",,,,,,
778,토니와 함께,완결,정성완,정성완,"전염병으로 황폐해지고 있는 세상. 인생이 원하는 대로 풀리지 않아 부모님 댁으로 도피했던 내가 홀로 살아 남았다. 막연한 목표로 자취방을 향해 걷던 어느 날, 강아지 토니를 발견하게 되는데... 그렇게 낯선 존재인 토니와 함께 여정을 떠난다.",네이버 웹툰,"에피소드, 드라마",,,,,,
779,영월동 534번지,완결,임성훈,정보근,"어린 시절 기억을 잃은 채 미국으로 입양된 여리원은 자신에게 화재와 관련된 트라우마가 있다는 것을 알게 되고, 이를 치료할 과거의 사실을 확인하기 위해 한국을 찾는다. 그러나 여리원이 기억을 잃은 계기가 된 과거의 화재 사건과 밀접한 관계를 가진 새봄재단이사장 박정덕은, 마침 코앞으로 다가온 국회의원 선거를 앞두고 그녀의 방문을 탐탁치않게 여긴다. 과거를 찾아나선 여리원은 자신과 과거와 연관된 여러 사람을 만나가는 과정 속에서 많은 사람들이 화재사건과 자신의 어머니에 대한 것을 숨기려 하고 있음을 눈치 채기 시작한다 !",네이버 웹툰,"에피소드, 드라마",,,,,,
780,고인의 명복,완결,조주희,유노,"이승과 저승, 삶과 죽음을 둘러싼한국형 미스터리 판타지",네이버 웹툰,"스토리, 드라마",,,,,,
781,루시퍼의 경호원,완결,문설희,직선,루시퍼의 힘을 얻게 된 경호원과 힘을 뺏긴 루시퍼의 구슬 쟁탈전 !,네이버 웹툰,"스토리, 판타지",,,,,,
782,악취,완결,디귿,디귿,"며칠 전부터 아랫집에서 썩은 내가 나기 시작했다. 냄새가 나고 얼마 뒤, 친구가 사라졌다. 그리고 아랫집 누나까지. 그 다음은...? 사라진 사람들, 그리고 그들을 찾는 사람들의 이야기!",네이버 웹툰,"스토리, 스릴러",,,,,,
783,금붕어,완결,명랑,애풍,"시한부 판정을 받게 된 킬러. 조득만.우연히 손에 넣게 된 금붕어 한 마리 덕분에 암흑가의 조직과 마켓, 검찰의 타겟이 되고 마는데...",네이버 웹툰,"스토리, 액션",,,,,,
784,냄새를 보는 소녀,완결,만취,만취,냄새를 눈으로 보신 적 있으신가요?,네이버 웹툰,"스토리, 드라마",,,,,,
785,언럭키 맨션,완결,약국,약국,언럭키한 럭키 맨션의 유쾌한 동거 라이프,네이버 웹툰,"에피소드, 드라마",,,,,,
786,창공의 타이양사무소,완결,박유나,박유나,고된 인생 속에도 사랑과 웃음이 있다,네이버 웹툰,"에피소드, 드라마",,,,,,
787,견원지간 로맨스,완결,최현옥,고방,"동물적인, 색다른 사랑법!",네이버 웹툰,"에피소드, 일상",,,,,,
788,악마에게 은총을,완결,백지연,스튜,"악마를 향한 순정, 결말은?",네이버 웹툰,"스토리, 드라마",,,,,,
789,텍사스홀덤,완결,onesound,onesound,흥미진진 승부사의 세계,네이버 웹툰,"에피소드, 일상",,,,,,
790,테러맨,완결,한동우,고진호,한 사람이라도 더 살릴 수 있다면 테러리스트가 되어도 상관없어.,네이버 웹툰,"스토리, 액션",,,,,,
791,같은도장,완결,이힝,이힝,게임 친구였던 귀여운 ? 연하남과같은 검도장에서 만나버렸다!,네이버 웹툰,"스토리, 로맨스",,,,,,
792,호곡,완결,감대,감대,이제 우리 차례야 조선의 왕 천군 이 사라지고 3년 뒤...한 소녀가 나타나다.,네이버 웹툰,"스토리, 판타지",,,,,,
793,호랭총각,완결,강호진,강호진,"매일 아침 씨리얼 한 사발로 하루 끼니를 때우는 가난한 나무꾼 호랭총각.배고프지 않고, 외롭지 않은 삶을 꿈꾸는 선량한 호랭총각과 토마호크 대신 연못에서 솟아난 덩치큰 친구와 함께하는 이상한 이야기.",네이버 웹툰,"옴니버스, 개그",,,,,,
794,대표님이 구독하셨습니다,완결,신지원,한혜린,유명 로맨스 작가 하윤서. 우연히 미라클 스토리 의 대표 백승혁을 만나 첫눈에 반해 벌어지는 은밀한 로맨스 코미디!,네이버 웹툰,"스토리, 드라마",,,,,,
795,타인의 로맨스,완결,호욱,만찐,로맨스 소설 속 여주인공이 되어버린 임소희. 과연 그녀의 운명은?,네이버 웹툰,"스토리, 로맨스",,,,,,
796,두근두근 마감 중,완결,연두,송이,만년작가 지망생 안봄. 작가 면접을 봤는데 작가가 아니라 담당자로 취업이 되었다고!?,네이버 웹툰,"스토리, 로맨스",,,,,,
797,자취로운 생활,완결,츄카피,츄카피,츄카피의 신개념 방구석 서바이벌 ? 자취툰,네이버 웹툰,"에피소드, 일상",,,,,,
798,아이키우는만화,완결,쇼쇼,쇼쇼,아기를 낳는다고 끝은 더더욱 아니지출산 후 펼쳐지는 어나더 레벨의 세상!,네이버 웹툰,"에피소드, 일상",,,,,,
799,블랙엔젤,완결,MEEN,이동현,타락으로 이끄는 악마들의 속삭임그리고 악마에 맞선 전사들,네이버 웹툰,"스토리, 스릴러",,,,,,
800,블러드레인,완결,MEEN,백승훈,"국정원과 경찰, 조폭간의 치열한 두뇌싸움. 언더커버로 투입된 투신 강혁의 또다른 신화가 시작된다.",네이버 웹툰,"스토리, 액션",,,,,,
801,스퍼맨3: 현자단의 역습,완결,하일권,하일권,스퍼맨이 돌아왔다! 근데 현자가 되어 돌아왔다!,네이버 웹툰,"에피소드, 드라마",,,,,,
802,2인용 인간,완결,WONDER,WONDER,"두 사람에게 나눠 팔린 내 인생,낮과 밤 다른 인물로 살아가야 한다.",네이버 웹툰,"에피소드, 판타지",,,,,,
803,쎈놈,완결,박용제,박용제,왔노라! 싸웠노라! 이겼노라!목마른 사슴이 냇가를 찾듯! 최강에 다가서는 그에게 목적과 이유 따윈 없다,네이버 웹툰,"스토리, 액션",,,,,,
804,신을 죽이는 방법,완결,나락,바밤,"믿음이 사라진 시대, 마지막 신화",네이버 웹툰,"스토리, 판타지",,,,,,
805,마루한 - 구현동화전,완결,박성우,박성우,책을 읽는 것 만으로도 강해지는 마루한그가 읽어가는 무협 동화 이야기,네이버 웹툰,"옴니버스, 액션",,,,,,
806,구원자,완결,이한빈,산산,16년간 집 밖으로 나오지 않은 227의 23살 천재 순덕.그리고 순덕의 집으로 초대 ? 된 연예부 파파라치 기자 기웅.그 두 사람이 불치병에 걸린 한 생명을 구하기 위해 나노 크기로 몸을 줄여 우주와 같은 인체를 탐험하는 대모험을 시작한다!,네이버 웹툰,"스토리, 판타지",,,,,,
807,스퍼맨 시즌2,완결,하일권,하일권,능력을 잃어버린 스퍼맨 앞에 망상염력능력자가 나타났다.그런데 야한 ? 망상만 가능하다고...?,네이버 웹툰,"에피소드, 판타지",,,,,,
808,수평선,완결,정지훈,정지훈,"더 복서 정지훈 작가 전작!세계멸망 후, 모든 걸 잃은 소년 소녀의 만남",네이버 웹툰,"스토리, 드라마",,,,,,
809,점핑오버,완결,조니조,서사야,평범하고픈 소녀 연희와하늘에서 떨어진 소년 이안의 특별한 이야기!,네이버 웹툰,"스토리, 로맨스",,,,,,
810,씬커,완결,권혁주,권혁주,몸 속에 서버가 있는 파쿠르 소년이 전파를 자유자재로 사용하는 능력으로해킹의 세계에서 히어로가 된다,네이버 웹툰,"스토리, 판타지",,,,,,
811,또한번 엔딩,완결,타리,타리,"연애, 최고의 결말은 결혼일까 이별일까? 신혼부부 전세대출을 받기 위해 결혼을 결심한 비혼주의 으른들의 아찔한 결혼사기 로맨스!플레이리스트 신작 웹드라마 또한번 엔딩 을 웹툰으로 만나보세요 !",네이버 웹툰,"스토리, 로맨스",,,,,,
812,"열렬하게, 단하나",완결,RAN,RAN,"방출 위기에 처한 7년차 연습생 단하나,입덕을 부르는 톱스타 박도결의 멘티가 되어 열렬하고 은밀한 덕심 분출 로맨스를 시작한다!",네이버 웹툰,"스토리, 드라마",,,,,,
813,이계 무슨 황비,완결,전현서,은영,"콜센터 상담원 예롬은 진상 고객을 찾아가던 중 이세계 초국에 도착하고, 얼떨결에 그곳의 황제 비위 전담 대신이 되는데?",네이버 웹툰,"스토리, 로맨스",,,,,,
814,모퉁이 뜨개방,완결,소영,소영,회색빛 일상에 지쳐있던 현이어느 날 만나게 된 모퉁이 뜨개방에서 자신의 상처를 마주하며 치유해간다,네이버 웹툰,"스토리, 감성",,,,,,
815,어서와,완결,고아라,고아라,"성냥갑처럼 늘어서 있는 삭막한 자취촌의 평범한 대학생 솔아. 신비한 고양이 홍조의 등장과 함께 솔아의 단조로웠던 삶이 바뀌기 시작한다. 어딘가 수상한 우리 고양이 홍조, 고양이 홍조의 비밀은 과연 무엇일까? 2009년 베스트도전만화 화제작, 2020년 추천완결에서 다시 만나세요!",네이버 웹툰,"스토리, 로맨스",,,,,,
816,다함께 이겨내요,완결,웹툰작가,웹툰작가,"2020 힘을 내요 대한민국,네이버웹툰 작가님들이 응원의 일러스트로 마음을 전합니다.",네이버 웹툰,"에피소드, 감성",,,,,,
817,동토의 여명,완결,김정휘,김정휘,시간과 공간을 뛰어넘은 동토의 세계에서 운명을 건 영웅들의 전쟁이 시작된다.,네이버 웹툰,"스토리, 판타지",,,,,,
818,꽃미남 저승사자,완결,사지현,쌍필,톱 배우로 위장 중인 천도율 원탑의 꽃미남 저승사자 진서원. 진서원의 사생팬들에게 쫓기다 어이없는 죽음을 맞이한 연극배우 한지안. 그녀를 천도시켜야만 하는 저승사자 진서원과 그의 유혹을 뿌리치고 천도 거부를 선언한 간 큰 여자 한지안. 그 둘 사이 누구도 모르는 은밀한 계약이 시작된다.,네이버 웹툰,"스토리, 로맨스",,,,,,
819,아르마,완결,병장,병장,"인간을 해칠 수 없는 초능력자, 인류의 구원이 되다!",네이버 웹툰,"스토리, 판타지",,,,,,
820,용이산다,완결,초,초,드래곤이든 인간이든 그저 평범한 판타지 일상물.새로운 용 ? 물 등장!,네이버 웹툰,"스토리, 드라마",,,,,,
821,로베스의 완전감각,완결,정샛별,정샛별,"난 아무것도 느낄 수 없으니까. 감정 없는 아이, 로베스의 감성 액션 어드벤처!",네이버 웹툰,"스토리, 판타지",,,,,,
822,마왕이 되는 중2야,완결,38,38,15살 마왕자 명성준인간계 명성중학교에서 마왕이 되기 위한 험난한 성인식을 시작한다,네이버 웹툰,"스토리, 판타지",,,,,,
823,우리 오빠는 아이돌,완결,성은,성은,"덕계못이라고?! 집념의 덕후 남다름, 오빠의 회사에 취직하다!",네이버 웹툰,"스토리, 로맨스",,,,,,
824,소녀 연대기,완결,지님,지님,서툴고 답답한 것 투성이지만 성장하는 중입니다.친구가 중요했던 그시절 현이와 친구들의 중3이야기.,네이버 웹툰,"스토리, 감성",,,,,,
825,용비불패 완전판,완결,류기운,문정후,전설적 명작의 완벽한 부활!무협의 최고봉을 다시 만나다!!,네이버 웹툰,"스토리, 액션",,,,,,
826,내 어린고양이와 늙은개,완결,초,초,"서로의 시점으로 그린,반려동물과 함께 사는 이야기",네이버 웹툰,"에피소드, 일상",,,,,,
827,참새는 새!신부,완결,99C,백도,"장수하고 싶은 참새, 인간을 사로잡으러 왔다!",네이버 웹툰,"스토리, 로맨스",,,,,,
828,플랫다이어리,완결,임현,임현,유행이 지났다고 숨겨두기만 할 건가요? 꺼내봅니다. 나만의 갬성 일기!,네이버 웹툰,"스토리, 감성",,,,,,
829,Doll 체인지,완결,늉비,늉비,아름다운 인간형 슈트 을 차지하기 위해 싸워라! 2016 대학만화 최강자전 수상작,네이버 웹툰,"스토리, 판타지",,,,,,
830,가령의 정체불명 이야기,완결,가령,가령,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,네이버 웹툰,"옴니버스, 드라마",,,,,,
831,내 여자친구는 상남자,완결,맛스타,맛스타,어느 날 갑자기 내 여자친구가 남자가 되었다?! 하루 아침 남자가 되어버린 지은이를 둘러싼 엉망진창 코믹 판타지 로맨스!,네이버 웹툰,"에피소드, 로맨스",,,,,,
832,귀인,완결,정연식,황진영,"흙수저 청년, 진짜 귀인이 되다.점입가경 팩션 사기극.",네이버 웹툰,"스토리, 시대극",,,,,,
833,헬프탑,완결,황인빈,황인빈,우리 집을 주시하는 옆집 옥상의 괴한들. 그들의 목적은 무엇인가?,네이버 웹툰,"스토리, 스릴러",,,,,,
834,금요일 베스트,완결,배진수,배진수,당신의 상상을 조각내는 세상에 없던 반전 공포의 진수 금요일,네이버 웹툰,"옴니버스, 스릴러",,,,,,
835,라스트 서브미션,완결,이행복,이행복,시한부 선고를 받은 노희망! 그의 인생에 다시 없을 라스트 서브미션이 시작됐다!,네이버 웹툰,"스토리, 드라마",,,,,,
836,5kg을 위하여,완결,수오수,홍끼,대한민국 표준체중 오수의 다이어트 도전기,네이버 웹툰,"스토리, 드라마",,,,,,
837,옆반의 인어,완결,요엔,요엔,인어공주 전설의 현실 재림! 다만 인어 공주가 아닌 왕자일 뿐!,네이버 웹툰,"스토리, 로맨스",,,,,,
838,꿀벌과 아카시아,완결,잔스,잔스,내가 전생에 아카시아 꽃이었다고? 갑자기 생긴 꽃 향기를 멈추기 위해서는 현생의 꿀벌남을 찾아야 한다!,네이버 웹툰,"스토리, 로맨스",,,,,,
839,머니게임,완결,배진수,배진수,게임 일수 100일. 총 상금 448억. 적용 물가 1000배. 당신은 얼마를 벌어 나갈수 있습니까?,네이버 웹툰,"스토리, 스릴러",,,,,,
840,부로콜리왕자,완결,산삼,산삼,잘생기긴했거든?? 근데.... 좀 이상해.... 얘... 지가 왕자래....,네이버 웹툰,"스토리, 개그",,,,,,
841,백귀야행지,완결,아만,아만,소름과 웃음이 동시에! 빨간 도깨비가 풀어놓는 기이한 이야기글로벌 라인 웹툰에서 연재되고 있는 대만의 를 한국어 버전으로 감상하세요.,네이버 웹툰,"에피소드, 개그",,,,,,
842,개장수,완결,김규삼,김규삼,"역대급 판타지스릴러 하이브 의 프리퀄! 곤충에게 지배당한 세상, 그 시작과 끝에 개장수가 있다.",네이버 웹툰,"스토리, 판타지",,,,,,
843,덴마,완결,양영순,양영순,특수능력을 지닌 악당 덴마가꼬마의 몸에 갇혀 우주택배 업무를 하며 겪는 기상천외한 모험이야기.,네이버 웹툰,"옴니버스, 판타지",,,,,,
844,부활남,완결,채용택,김재한,나는 죽으면3일 만에 부활한다!,네이버 웹툰,"스토리, 액션",,,,,,
845,신석기녀,완결,재아,한가람,불로불사 소녀와 시한부 청년의 피튀기는 로맨스,네이버 웹툰,"스토리, 액션",,,,,,
846,냥하무인,완결,박성현,박성현,내가 선물이니까 넌 닥치고 받아 안하무인 뚱냥이 인간세상 출몰,네이버 웹툰,"스토리, 개그",,,,,,
847,MZ-레이징 인페르노,완결,최훈,청설모,국가조직 수비대를 둘러싼 음모와 암투! 불지옥과 같은 상황 속에서 펼쳐지는 요원 엠젯의 활약! 최종장!,네이버 웹툰,"스토리, 액션",,,,,,
848,치즈인더트랩,완결,순끼,순끼,"평범한 여대생 홍설, 그리고 어딘가 수상한 선배 유정.미묘한 관계의 이들이 펼쳐나가는 이야기.",네이버 웹툰,"스토리, 로맨스",,,,,,
849,퓨리스틱,완결,유성연,유성연,공상과학 아닙니다. 망상과학 입니다. 손의 흔적 유성연 작가가 그려내는 망상과학 단편선,네이버 웹툰,"옴니버스, 판타지",,,,,,
850,살인자o난감,완결,꼬마비,노마비,반전이 거듭될 수록 독자는 혼란에 빠진다.,네이버 웹툰,"에피소드, 스릴러",,,,,,
851,킬러분식,완결,한,한,"킬러의 삶을 청산하고 인간답게 살고 싶었던 추. 20년이 지난 지금, 누군가가 그와 그의 가족을 위협한다!인과응보를 기반으로 한 한 작가의 액션 느와르 복수극.",네이버 웹툰,"스토리, 액션",,,,,,
852,2019 루키 단편선-지옥...,완결,웹툰작가,웹툰작가,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 2019! 슈퍼 루키의 데뷔!",네이버 웹툰,"에피소드, 드라마",,,,,,
853,늑대와 빨간모자,완결,슈안,슈안,어느날 늑대인간이 됐다! 팔도 다리도 부숭부숭 18세 여고생에겐 너무 가혹한 시련이...!,네이버 웹툰,"스토리, 판타지",,,,,,
854,타인은 지옥이다,완결,김용키,김용키,모든 게 낯선 고시원 생활. 그곳에 수상한 자들이 있다.화제의 드라마원작 재연재! 놓치지 마세요!,네이버 웹툰,"스토리, 스릴러",,,,,,
855,츄억보정,완결,하비영,하비영,"어른이 된 보나에게 돌아온 첫사랑 김정호, 조금 가벼워져 버렸다..? 본격 자아찾기 판타지 로맨스",네이버 웹툰,"스토리, 로맨스",,,,,,
856,그랜드 배틀 토너먼트,완결,강냉이,강냉이,지상 최강을 꿈꾸는 자들의 축제가 시작된다,네이버 웹툰,"스토리, 액션",,,,,,
857,수능일기,완결,자까,자까,대학에 가면 모든게 행복할 줄 알았던...그 때의 처절했던 기억 속으로...,네이버 웹툰,"에피소드, 개그",,,,,,
858,위장불륜 (僞裝不倫),완결,히가시무라,아키코,내가 왜 그랬을까?반지에서 시작된 엇갈린 첫 단추 해파리공주 히가시무라 아키코 작가의 첫 웹툰!,네이버 웹툰,"스토리, 로맨스",,,,,,
859,숨:킬더바디,완결,이재헌,김태순,삶과 죽음의 기준은 무엇인가!신감각 하드코어 액션,네이버 웹툰,"스토리, 액션",,,,,,
860,돼지만화,완결,돼지작가,돼지작가,주의 돼지들만 보시오! 맛있는 걸 좋아하는 동네 돼지들의 일상!,네이버 웹툰,"에피소드, 일상",,,,,,
861,푸들과 Dog거중,완결,최삡뺩,최삡뺩,독거 아니고 거 중입니다.푸들과의 이상한 일상!,네이버 웹툰,"에피소드, 개그",,,,,,
862,한남동 케이하우스,완결,박태준,박태준,"외모지상주의 박태준 작가 신작!말할 수 없는 이 집 남자들의 비밀, 미친 꽃미남들의 후방주의 동거생활",네이버 웹툰,"스토리, 로맨스",,,,,,
863,썸머 브리즈,완결,한경찰,한경찰,낯선 곳에서 낯설지 않은 눈빛의 남자애를 만났다.여름 바람이 지나가고 나면 우리는..한경찰 작가의 여름 특선 신작!,네이버 웹툰,"스토리, 로맨스",,,,,,
864,가우스전자 시즌3~4,완결,곽백수,곽백수,다국적 문어발 기업 가우스전자에서 벌어지는웃픈 현실 직장인 이야기,네이버 웹툰,"에피소드, 개그",,,,,,
865,신시의 손님,완결,이뫄,이뫄,"과거를 들고 찾아온 수상한 손님,그런데.. 저랑 아는 사이라고요?",네이버 웹툰,"스토리, 판타지",,,,,,
866,성공한 덕후,완결,옛사람,옛사람,나는 그냥 오빠를 한번이라도 실제로 보고 싶었을 뿐인데!! 어느날 아침 성덕이 된 이야기,네이버 웹툰,"에피소드, 드라마",,,,,,
867,"안녕, 대학생",완결,다니,다니,"서른 살, 다시 대학생이 되었습니다.2017 청춘로맨스 대전 우수상 수상작",네이버 웹툰,"스토리, 로맨스",,,,,,
868,메이크 업 드림 - Mak...,완결,김계란,네이버웹툰,내 안의 또 다른 내가 궁금하세요? 지금 드립니다. 메이크 업 !네이버웹툰과 김계란 작가의특집 5부작 에피소드별 실전 메이크업 가이드를 만나보세요.,네이버 웹툰,"에피소드, 드라마",,,,,,
869,10월 27일,완결,AJS,AJS,"시작하기까지 아주 오랜 시간이 걸려서,어쩌면 영원히 못할 것만 같던 이야기.그녀가 지나온 시간의 기록",네이버 웹툰,"에피소드, 드라마",,,,,,
870,호러와 로맨스,완결,루시드,루시드,사랑을 알고 싶은 호러 작가와 공포물은 질색인 인기 로맨스 작가의 오싹달콤한 로맨스 제작기,네이버 웹툰,"스토리, 로맨스",,,,,,
871,좋아하는 부분,완결,타리,타리,극한의 남자취향을 가진 여인 소우주의 고군분투 로맨스,네이버 웹툰,"스토리, 로맨스",,,,,,
872,천리마 네버다이,완결,김규삼,김규삼,쌉니다 천리마마트 드라마화 기념 특별외전반가운 천리마 마트 멤버들의 새로운 이야기!,네이버 웹툰,"옴니버스, 개그",,,,,,
873,신암행어사,완결,윤인완,양경일,지금부터 일어나는 일은 모두 우연이다!웹툰으로 돌아온 윤인완 양경일 작가 명작 신암행어사 !,네이버 웹툰,"스토리, 판타지",,,,,,
874,식스틴,완결,김인태,김인태,"29살 싱글맘 직장인 서인주, 어느 날 나타난 수상한 동창으로 그녀의 일상이 흔들린다.",네이버 웹툰,"스토리, 드라마",,,,,,
875,2019 귀신사용설명서 -...,완결,웹툰작가,웹툰작가,2019 여름특집 공포 단편선 괴담의 재구성 주의 절대 이 작품을 혼자 읽지 마시오,네이버 웹툰,"스토리, 스릴러",,,,,,
876,여기가 씨름부입니까?,완결,MU,만화인간,시름은 씨름으로 잊자!샅바마왕이 귀환했다!,네이버 웹툰,"스토리, 개그",,,,,,
877,타인지옥 - 연쇄살묘사건,완결,김용키,김용키,"타인은 지옥이다 특별외전 연쇄살묘사건고벤저스, 재등장! 종우가 오기 전 일어난 참혹한 사건의 전말은?!",네이버 웹툰,"스토리, 스릴러",,,,,,
878,소유,완결,한,한,"욕망, 결핍, 집착, 그리고...사랑을 향한 파국 스릴러.",네이버 웹툰,"스토리, 드라마",,,,,,
879,둥굴레차!,완결,기라3,기라3,"청룡, 주작, 백호, 현무. 사신의 증표를 가지고 태어난 네 무술소년들의 수련기 2013 대학만화 최강자전 2위 수상작!",네이버 웹툰,"스토리, 판타지",,,,,,
880,허니허니 웨딩,완결,문나영,문나영,어느 날 예비고3 신해수에게 들이닥친 결혼?! 상대는 독사 최혁준 쌤?띠동갑 커플 해수와 혁준의 서툴지만 달달한 선결혼 후연애 러브 스토리.,네이버 웹툰,"스토리, 로맨스",,,,,,
881,12차원 소년들,완결,컷부,컷부,소무하보다 더 강해진 녀석들이 돌아왔다. 차원을 넘나드는 소년들의 다양한 이야기,네이버 웹툰,"옴니버스, 개그",,,,,,
882,연애의 정령,완결,김호드,김호드,"남중 남고 공대 군대의 길을 걷는 자, 문오중. 그에게 뜬금없이 연애의 정령이 파견되는데...",네이버 웹툰,"스토리, 개그",,,,,,
883,몽연,완결,김종진,김종진,꿈 속에서 만나는 첫사랑. 아내가... 날 의심한다.,네이버 웹툰,"스토리, 드라마",,,,,,
884,허니버니,완결,소금,소금,토끼가 남자로 보이기 시작했다.,네이버 웹툰,"스토리, 로맨스",,,,,,
885,하늘쌤은 피곤해,완결,hemo,hemo,나더러 아이들을 가르치라고?! 평범한 선생님의 평범하지 않은 이세계 평화 수업!,네이버 웹툰,"스토리, 판타지",,,,,,
886,귀도호가록,완결,이수민,이수민,조선의 밤을 떠도는 귀암행어사와새끼 구미호 미선의 험난한 여정!,네이버 웹툰,"스토리, 판타지",,,,,,
887,밥 먹고 갈래요?,완결,오묘,오묘,이리 뛰고 저리 뛰고 깨지고 구르고. 지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 오묘 작가의 컷툰 신작!,네이버 웹툰,"에피소드, 감성",,,,,,
888,창궐,완결,황조윤,윤군,역병이 창궐했다.야귀에게서 조선을 구하라!,네이버 웹툰,"스토리, 판타지",,,,,,
889,조선팔도 최강아이돌,완결,햄쥐주먹,햄쥐주먹,조선의 최강 아이돌이 되기 위한전국 꽃미남 연습생들의 냉혹한 서바이벌!,네이버 웹툰,"스토리, 로맨스",,,,,,
890,하나의 하루,완결,석우,석우,인간소녀를 향한 늑대인간의 사랑,네이버 웹툰,"스토리, 로맨스",,,,,,
